,Age,Potential,Value,Wage,Acceleration,Aggression,Agility,Balance,Ball_control,Composure,Crossing,Curve,Dribbling,Finishing,Sprint_speed,Stamina,Strength,Vision,Preferred_Positions
8495,25,71.0,€1M,9000.0,81,47,74,71,64,70,56,61,63,72,79,65,61,59,RW ST 
8501,21,77.0,€1.3M,10000.0,74,55,74,56,67,63,23,44,66,66,76,64,77,48,ST 
8502,24,72.0,€1M,3000.0,87,59,81,76,66,64,56,46,70,65,81,73,63,60,ST RM LM 
8505,29,67.0,€750K,5000.0,84,69,80,68,62,57,63,54,66,63,90,65,64,57,ST RM LM 
8509,28,67.0,€800K,1000.0,77,62,81,76,69,66,55,42,71,65,74,69,57,59,ST 
8511,27,67.0,€825K,4000.0,69,58,68,60,60,66,33,35,59,72,61,78,74,55,CM ST 
8512,27,67.0,€800K,5000.0,72,35,64,69,70,49,58,33,71,68,72,64,57,58,ST LW 
8520,23,73.0,€1.1M,15000.0,53,40,61,54,68,63,42,40,64,70,53,65,68,50,ST 
8538,31,67.0,€675K,5000.0,60,62,55,38,62,62,45,49,58,67,68,66,93,52,ST 
8541,20,80.0,€1.5M,27000.0,67,30,58,40,70,63,43,56,69,69,67,64,69,55,ST 
8562,31,67.0,€675K,8000.0,66,75,67,67,62,65,32,50,56,69,66,77,83,52,ST 
8568,26,68.0,€900K,8000.0,32,67,30,28,59,71,24,29,55,73,31,64,92,41,ST 
8571,27,67.0,€800K,9000.0,73,54,65,59,69,55,61,66,68,65,71,68,61,60,ST LW CAM RW 
8577,27,67.0,€800K,6000.0,72,65,71,70,63,60,63,60,66,63,79,73,72,65,ST RM 
8579,30,67.0,€725K,4000.0,65,65,53,59,68,61,74,56,71,64,69,57,71,64,CAM ST LW CF 
8582,26,69.0,€925K,10000.0,76,53,81,82,68,64,48,50,65,64,68,73,57,66,CAM LM RM ST 
8583,23,72.0,€1M,15000.0,70,52,64,59,63,62,37,52,60,70,73,63,63,48,ST 
8591,28,67.0,€800K,6000.0,68,85,61,62,63,65,49,55,58,65,75,80,85,49,ST 
8593,28,67.0,€800K,13000.0,55,76,55,55,63,68,53,57,56,66,62,65,83,59,ST 
8596,21,74.0,€1.1M,7000.0,83,50,80,70,66,63,60,71,73,62,87,68,58,60,LW CAM ST 
8600,25,69.0,€950K,6000.0,84,62,76,63,64,62,45,44,65,63,86,62,74,59,LM ST 
8604,28,67.0,€800K,4000.0,72,48,79,78,64,68,53,52,67,69,70,80,57,43,ST 
8605,29,67.0,€750K,6000.0,72,79,81,86,67,64,54,49,66,64,78,58,73,61,ST 
8613,32,67.0,€0,0.0,76,49,72,76,64,67,49,67,63,71,73,68,59,56,ST 
8618,22,74.0,€1.1M,13000.0,83,56,68,66,65,38,57,58,66,64,90,67,73,58,RM ST 
8621,26,70.0,€975K,8000.0,71,25,71,60,72,55,57,49,66,70,75,72,68,61,CAM LM RM ST 
8622,28,67.0,€800K,22000.0,68,62,72,70,64,57,58,52,65,65,65,70,72,68,LM RM ST 
8623,24,71.0,€1M,5000.0,63,52,65,53,61,57,52,47,61,69,51,65,88,39,ST 
8633,33,67.0,€475K,8000.0,81,73,80,80,70,65,59,64,71,65,86,80,69,57,ST CAM 
8640,21,77.0,€1.3M,10000.0,64,32,57,61,66,59,39,49,67,71,64,52,62,63,ST 
8650,30,67.0,€725K,9000.0,73,85,69,78,67,66,63,65,62,61,71,91,78,64,ST CM RM 
8662,23,71.0,€1M,5000.0,73,69,61,60,68,64,66,60,65,59,76,68,64,64,ST RW RM 
8663,27,67.0,€825K,1000.0,76,45,62,72,68,57,55,48,65,75,75,60,56,54,RM CF RW ST 
8665,26,69.0,€925K,22000.0,68,55,66,60,62,56,51,59,61,67,79,52,78,51,RW ST 
8668,25,69.0,€950K,23000.0,76,69,81,60,62,53,32,45,60,66,79,67,78,52,ST 
8669,21,75.0,€1.1M,12000.0,55,26,57,65,67,47,32,38,69,71,52,52,56,48,ST 
8679,32,67.0,€600K,2000.0,76,50,73,65,65,57,50,52,62,63,73,56,70,56,RW ST 
8680,24,73.0,€1.1M,15000.0,79,59,75,75,70,62,63,59,72,65,78,65,65,56,RW ST 
8682,28,67.0,€800K,19000.0,43,67,47,30,60,54,43,50,45,68,46,69,91,56,ST 
8684,23,75.0,€1.1M,7000.0,85,81,75,72,63,55,56,52,61,67,84,73,80,51,LW ST 
8685,32,67.0,€600K,7000.0,69,80,38,63,60,60,67,60,62,63,68,85,82,63,ST RM 
8686,28,67.0,€800K,6000.0,76,61,79,71,65,60,52,54,65,65,76,69,74,55,ST 
8692,23,72.0,€1M,13000.0,65,36,67,54,64,66,31,42,60,68,69,51,73,42,ST 
8719,24,71.0,€1M,7000.0,60,55,65,40,63,50,49,52,68,62,56,36,90,62,CF ST 
8721,31,67.0,€675K,5000.0,69,61,71,69,69,68,66,73,67,64,72,62,76,63,ST RM CAM 
8728,28,67.0,€800K,4000.0,73,45,74,57,65,67,29,63,61,68,63,62,86,49,ST 
8731,22,74.0,€1.1M,7000.0,57,31,62,51,64,65,41,33,59,68,66,75,83,57,ST 
8740,33,67.0,€475K,3000.0,68,57,64,62,64,58,47,54,62,69,75,70,71,59,ST 
8745,24,70.0,€975K,11000.0,68,53,69,62,65,58,56,58,63,67,72,73,58,53,ST 
8753,22,75.0,€1.1M,3000.0,85,67,86,74,69,62,44,44,71,65,89,77,69,55,ST 
8755,25,67.0,€850K,4000.0,84,50,74,71,73,72,68,45,74,77,82,72,53,52,RM ST 
8762,28,67.0,€800K,6000.0,73,68,69,75,64,57,57,50,63,59,70,73,68,55,ST 
8765,26,68.0,€900K,5000.0,72,58,66,59,66,59,50,34,64,65,75,76,76,50,ST 
8769,22,74.0,€1.1M,5000.0,78,38,62,57,66,61,32,38,63,68,69,78,73,55,LM ST 
8776,29,66.0,€650K,3000.0,86,58,72,62,60,64,55,50,64,63,86,55,68,50,ST 
8793,24,70.0,€850K,11000.0,77,61,77,70,66,63,55,59,71,67,75,72,63,55,RM ST 
8799,28,66.0,€650K,2000.0,87,54,82,71,68,51,39,54,70,69,88,80,56,57,CAM ST LM 
8800,22,74.0,€950K,3000.0,77,34,76,84,65,53,67,56,67,64,75,54,51,62,ST RW LW 
8819,27,66.0,€675K,4000.0,73,67,67,64,62,72,62,55,64,67,70,55,69,45,LW ST 
8823,34,66.0,€350K,3000.0,69,91,64,77,61,69,44,68,62,72,66,55,71,42,ST 
8826,28,66.0,€650K,6000.0,83,43,92,91,65,57,53,67,66,60,76,87,71,61,CM ST LM RM 
8829,26,67.0,€775K,3000.0,88,65,76,77,64,55,54,71,66,60,88,68,70,60,RM ST 
8831,30,66.0,€600K,5000.0,56,47,47,43,67,72,66,63,66,71,62,68,72,64,ST RM 
8836,31,66.0,€575K,7000.0,73,57,72,75,64,67,42,42,67,67,68,79,72,57,RW ST 
8856,31,66.0,€575K,3000.0,64,48,51,51,62,61,49,51,62,62,70,72,75,41,ST 
8861,28,66.0,€675K,3000.0,61,70,66,63,61,67,59,63,62,69,65,57,68,63,LM CAM ST 
8863,28,66.0,€650K,2000.0,62,68,66,72,66,62,62,65,62,63,68,83,76,61,ST RM LM 
8864,26,66.0,€700K,2000.0,90,48,78,79,65,62,54,49,70,65,89,78,57,50,ST LM RM 
8866,29,66.0,€650K,2000.0,82,83,68,71,61,64,52,37,63,67,79,51,86,43,ST 
8868,26,67.0,€750K,4000.0,95,42,73,62,65,57,59,56,68,63,95,49,62,56,ST LM RM 
8869,26,66.0,€700K,1000.0,57,72,48,32,62,62,30,32,58,69,60,73,83,28,ST 
8879,24,72.0,€900K,3000.0,90,56,72,65,61,56,54,44,65,66,91,53,57,47,RW ST 
8885,27,66.0,€675K,2000.0,85,65,82,68,61,60,33,56,64,65,83,70,71,45,ST 
8892,28,66.0,€650K,2000.0,91,55,78,66,62,45,63,45,59,60,82,60,72,60,CAM ST RW 
8893,30,66.0,€625K,11000.0,68,53,66,65,62,67,58,53,59,68,65,68,75,46,ST 
8897,28,66.0,€675K,7000.0,67,66,58,57,65,61,42,54,63,64,70,65,75,62,ST 
8900,25,69.0,€825K,4000.0,76,63,67,57,62,68,49,49,65,63,74,82,71,55,ST 
8903,21,77.0,€1.1M,4000.0,76,47,70,66,61,63,45,58,64,67,82,63,71,56,ST 
8905,33,66.0,€400K,2000.0,61,43,71,71,64,68,56,47,62,69,61,54,62,59,RW CF ST 
8911,32,66.0,€500K,3000.0,79,63,77,69,67,65,59,66,68,66,81,69,65,56,ST RM LM 
8916,26,66.0,€700K,3000.0,91,64,87,73,59,58,53,62,65,61,91,63,65,57,RM LM ST 
8928,27,66.0,€675K,2000.0,64,48,62,57,65,65,70,51,61,66,63,60,67,68,CM CAM ST 
8942,19,80.0,€1.4M,3000.0,75,52,71,82,68,51,59,44,71,67,77,75,73,52,ST 
8955,24,70.0,€850K,2000.0,72,55,72,71,62,65,51,53,63,62,74,78,70,55,ST 
8970,29,66.0,€650K,5000.0,59,61,61,52,57,70,41,45,57,65,69,69,80,64,CF ST 
8971,26,67.0,€775K,7000.0,68,47,74,55,66,57,59,49,67,64,65,68,75,70,ST 
8972,24,70.0,€850K,6000.0,73,64,50,51,63,51,58,62,59,66,78,71,83,48,ST 
8982,23,72.0,€875K,6000.0,89,32,88,87,67,56,59,71,70,65,83,65,34,57,ST LM RM 
8985,25,70.0,€850K,3000.0,68,86,62,66,58,61,32,37,62,64,71,92,83,62,ST 
8987,28,66.0,€675K,3000.0,63,63,57,56,64,62,40,57,59,65,63,67,73,57,CAM ST 
8988,22,76.0,€1M,4000.0,84,67,74,66,60,60,39,62,65,59,88,70,77,55,ST 
8990,26,67.0,€775K,5000.0,84,52,90,65,63,64,46,28,67,67,78,66,62,58,ST 
8993,22,76.0,€1M,13000.0,78,33,70,59,64,68,64,42,66,68,81,70,78,49,RM ST 
9003,27,66.0,€675K,3000.0,74,64,84,71,66,61,59,60,65,68,79,70,66,54,LM ST 
9008,24,71.0,€875K,2000.0,72,83,74,70,64,65,45,49,64,66,70,79,64,60,ST 
9013,28,66.0,€675K,4000.0,64,44,68,46,70,63,62,71,69,69,60,31,60,62,CAM LM ST 
9014,29,66.0,€625K,3000.0,72,55,67,61,70,65,63,52,69,69,76,67,72,65,ST LM 
9021,29,66.0,€650K,2000.0,87,57,87,78,61,57,44,49,65,63,86,76,60,60,ST 
9027,30,66.0,€625K,3000.0,70,33,68,68,65,55,34,65,64,68,68,72,75,52,ST 
9029,25,69.0,€825K,1000.0,77,49,72,78,67,63,59,50,69,65,72,77,66,57,ST 
9030,23,74.0,€950K,6000.0,77,58,75,67,70,67,61,37,76,65,73,70,65,59,LM ST 
9041,26,68.0,€800K,3000.0,50,70,34,33,66,66,47,45,63,64,51,49,92,47,ST 
9046,18,85.0,€1.3M,5000.0,88,106,75,49,68,88,62,68,72,68,85,72,71,73,RM ST 
9047,23,72.0,€900K,2000.0,65,55,55,44,70,59,55,65,67,65,68,63,82,61,LM CF ST 
9049,27,66.0,€675K,16000.0,35,71,45,35,70,62,47,59,68,65,36,64,90,65,ST 
9052,23,74.0,€950K,4000.0,78,57,63,60,66,62,47,62,65,67,80,68,71,51,RM ST 
9056,20,80.0,€1.4M,7000.0,77,47,78,85,68,57,65,56,67,59,69,61,56,56,LB ST LM 
9062,25,69.0,€825K,3000.0,61,68,31,34,60,56,38,52,55,64,65,67,91,46,ST 
9075,24,69.0,€825K,3000.0,68,55,61,65,68,69,57,62,66,65,64,58,75,69,ST CAM 
9080,23,74.0,€950K,3000.0,77,34,81,80,69,56,48,52,72,75,74,71,56,76,ST 
9095,24,70.0,€850K,2000.0,70,55,67,67,66,59,64,51,67,67,68,66,64,59,ST LW 
9099,25,71.0,€875K,2000.0,79,48,80,78,67,62,48,55,67,67,77,75,61,61,ST CAM CF 
9117,27,66.0,€675K,10000.0,83,56,78,77,65,60,57,56,68,73,86,75,58,51,ST RM LM 
9122,20,77.0,€1.1M,14000.0,81,29,82,70,66,48,55,53,65,68,82,55,69,51,ST 
9124,24,68.0,€800K,2000.0,85,48,77,51,65,62,63,63,71,63,82,42,78,59,ST LM RM 
9127,27,67.0,€750K,3000.0,88,26,71,69,66,63,58,39,68,65,89,70,70,65,RB ST 
9129,20,76.0,€1M,2000.0,74,48,78,69,66,67,57,62,67,40,75,54,53,68,ST RM 
9139,22,72.0,€900K,10000.0,68,59,66,57,63,57,30,35,49,66,74,53,87,46,ST 
9144,25,70.0,€850K,1000.0,72,27,77,73,64,58,34,42,58,68,72,59,67,49,ST 
9155,18,84.0,€1.3M,10000.0,76,32,71,74,70,62,33,52,74,70,77,55,64,58,ST 
9164,35,66.0,€300K,4000.0,89,59,81,72,64,61,64,57,67,62,91,56,64,58,RW ST 
9168,18,78.0,€1.1M,2000.0,75,33,65,70,69,58,33,44,55,63,75,64,72,43,ST 
9171,32,66.0,€525K,5000.0,73,60,75,66,55,55,49,58,63,66,69,77,72,55,ST 
9178,34,66.0,€350K,3000.0,38,58,63,67,63,73,58,54,61,68,47,32,82,67,ST 
9181,25,67.0,€775K,2000.0,83,56,82,72,64,64,57,53,65,62,81,75,69,61,ST LM RM 
9187,25,66.0,€725K,5000.0,82,34,91,89,71,59,61,51,75,67,77,59,43,68,CF ST 
9198,22,76.0,€1M,13000.0,81,34,77,76,60,54,38,43,57,69,73,60,51,54,ST 
9202,27,67.0,€750K,3000.0,80,49,81,59,64,63,53,48,64,67,82,68,78,63,ST 
9205,23,71.0,€875K,6000.0,70,37,71,74,60,69,47,54,60,63,72,61,71,45,ST 
9221,25,66.0,€725K,5000.0,85,56,86,78,64,62,43,43,67,66,87,50,64,41,ST 
9224,18,81.0,€1.3M,3000.0,67,70,61,57,61,68,62,48,64,68,71,56,78,54,ST 
9234,29,66.0,€650K,5000.0,88,41,78,81,64,55,51,41,77,65,91,51,57,44,LW ST 
9235,22,75.0,€1M,2000.0,79,49,79,84,71,59,49,58,69,66,76,66,52,58,ST LW 
9237,27,66.0,€675K,4000.0,78,56,71,62,61,59,43,52,63,68,75,87,67,52,ST 
9260,26,68.0,€800K,4000.0,52,47,59,54,69,59,29,67,62,67,53,64,75,52,ST 
9267,29,66.0,€650K,2000.0,58,46,57,58,67,63,39,41,64,71,56,56,60,55,ST 
9277,27,66.0,€675K,7000.0,65,45,65,70,59,58,42,58,62,65,65,70,71,59,ST 
9282,32,66.0,€525K,3000.0,41,61,55,51,57,60,48,45,53,72,53,47,80,58,ST 
9285,22,73.0,€925K,2000.0,73,65,61,65,63,57,36,40,59,68,68,63,76,50,ST 
9286,25,67.0,€775K,3000.0,91,53,69,54,62,63,61,27,65,63,90,79,70,54,ST RM 
9295,21,72.0,€900K,2000.0,77,73,72,73,64,59,49,43,69,67,77,66,60,55,LW ST 
9300,27,66.0,€675K,3000.0,73,58,77,74,65,57,66,65,64,60,79,70,62,64,ST CM RW 
9304,25,69.0,€825K,1000.0,67,30,70,49,61,49,43,55,62,63,70,71,83,50,ST 
9316,23,70.0,€850K,2000.0,82,67,66,66,64,49,64,58,63,64,86,69,74,55,ST LM 
9319,29,66.0,€650K,5000.0,66,68,89,93,65,66,53,58,66,65,73,66,71,72,CAM ST 
9320,27,66.0,€675K,4000.0,38,64,55,52,64,66,54,57,61,63,50,66,85,45,ST 
9324,30,66.0,€625K,8000.0,80,56,68,67,59,65,39,66,62,65,65,71,72,59,ST 
9343,28,66.0,€675K,3000.0,82,45,65,52,63,59,57,59,60,66,90,74,81,60,RM ST 
9345,24,70.0,€850K,2000.0,84,54,72,68,64,50,61,43,65,66,88,65,65,53,ST 
9346,26,67.0,€750K,1000.0,74,49,63,72,66,58,63,41,70,64,78,80,57,58,ST LM 
9354,29,66.0,€650K,3000.0,66,61,72,61,63,66,48,66,68,64,67,74,76,61,CAM ST 
9366,27,67.0,€750K,4000.0,69,30,76,70,66,48,58,69,65,71,67,67,64,54,ST 
9373,25,70.0,€850K,2000.0,74,34,74,58,66,66,56,38,65,63,70,67,67,58,ST 
9375,25,66.0,€725K,2000.0,82,34,91,89,71,59,61,51,75,67,77,59,43,68,CF ST 
9386,29,66.0,€625K,5000.0,70,73,71,67,67,67,59,58,68,60,73,64,75,68,ST LM CM 
9390,26,67.0,€775K,7000.0,76,43,78,65,64,59,55,58,65,62,72,79,61,32,ST 
9391,27,67.0,€750K,15000.0,64,66,39,47,64,57,62,54,65,66,35,61,84,50,ST 
9396,25,66.0,€725K,2000.0,85,56,86,78,64,62,43,43,67,66,87,50,64,41,ST 
9401,31,66.0,€575K,4000.0,80,71,75,62,66,65,38,42,65,66,60,72,69,65,ST CF 
9405,32,66.0,€525K,3000.0,75,71,73,80,64,60,50,52,65,68,78,70,65,51,ST 
9407,24,70.0,€850K,8000.0,60,65,57,50,62,48,32,42,60,68,65,79,86,53,ST 
9408,29,66.0,€650K,2000.0,88,41,78,81,64,55,51,41,77,65,91,51,57,44,LW ST 
9410,22,76.0,€1M,5000.0,79,32,76,79,68,45,40,49,70,65,78,64,67,51,LM ST 
9414,28,66.0,€0,0.0,71,58,71,65,63,60,60,59,62,66,75,76,66,60,ST 
9422,20,78.0,€1.2M,2000.0,79,45,75,72,64,59,59,46,67,60,78,70,52,61,ST LM 
9423,22,72.0,€900K,5000.0,79,50,87,76,70,57,62,59,69,66,74,66,52,58,CAM ST 
9431,25,69.0,€825K,8000.0,68,38,57,54,65,63,33,36,61,66,66,75,88,40,ST 
9436,25,69.0,€825K,9000.0,80,49,80,62,67,60,47,45,65,70,81,83,74,58,ST 
9442,30,66.0,€600K,10000.0,69,52,79,63,65,50,59,69,63,65,73,74,72,62,RM CAM ST LM 
9444,26,69.0,€825K,4000.0,74,58,60,57,64,63,34,54,59,68,78,59,69,46,ST 
9445,19,84.0,€1.4M,5000.0,69,34,73,67,64,63,48,58,62,71,68,54,52,62,ST 
9449,19,77.0,€1.1M,6000.0,72,64,50,48,59,55,55,48,63,61,77,73,87,58,RW ST 
9466,29,66.0,€625K,5000.0,78,40,77,61,72,71,48,66,69,59,75,50,64,66,ST CF CM CAM 
9467,20,77.0,€1.1M,1000.0,73,29,58,70,67,60,32,44,63,67,68,58,71,40,ST 
9473,23,72.0,€900K,2000.0,65,36,69,33,64,67,32,59,61,67,74,70,75,65,ST 
9477,20,77.0,€1.1M,3000.0,87,34,77,72,67,60,45,48,67,68,86,58,57,61,RM ST 
9479,25,66.0,€725K,4000.0,85,74,68,72,57,58,42,55,63,65,78,81,67,46,ST 
9483,20,81.0,€1.4M,6000.0,68,54,56,58,67,65,63,62,67,56,66,65,63,64,ST CAM 
9493,24,71.0,€875K,7000.0,75,48,72,75,67,63,48,62,67,67,69,76,60,64,CF ST 
9496,25,69.0,€825K,5000.0,67,56,73,56,70,56,59,50,67,59,69,80,72,67,CAM ST 
9500,25,71.0,€875K,1000.0,78,50,76,73,66,66,33,46,65,64,78,75,72,67,ST 
9505,29,66.0,€650K,3000.0,75,63,63,59,61,60,49,48,54,67,80,61,77,66,CF ST 
9515,29,66.0,€650K,5000.0,40,69,39,31,63,56,31,53,55,66,37,64,91,62,ST 
9517,33,66.0,€400K,3000.0,65,57,70,75,66,66,50,57,65,64,55,55,71,59,LM ST 
9521,27,66.0,€675K,4000.0,81,42,92,79,76,60,64,73,77,41,71,61,35,68,ST LM 
9532,21,76.0,€1.1M,8000.0,76,38,76,71,64,42,46,47,60,67,69,58,53,54,CF ST 
9541,31,66.0,€575K,2000.0,73,79,63,63,60,60,33,68,58,73,68,70,67,52,ST 
9544,29,66.0,€650K,1000.0,74,59,74,72,60,63,52,45,61,67,75,83,68,49,LM CAM ST 
9553,33,66.0,€400K,2000.0,31,56,31,33,63,76,47,49,61,67,56,65,89,65,ST 
9567,30,66.0,€625K,2000.0,52,64,55,46,63,56,49,48,59,61,63,65,88,51,ST 
9579,28,66.0,€675K,4000.0,74,49,76,69,69,60,59,68,61,66,78,70,72,58,ST 
9595,22,71.0,€850K,3000.0,64,56,60,63,65,60,52,62,62,66,53,64,66,65,ST CAM 
9602,23,71.0,€875K,2000.0,77,49,70,81,62,66,36,49,67,66,76,66,79,50,ST 
9610,26,67.0,€775K,4000.0,83,70,61,53,62,57,62,42,62,63,83,79,91,56,ST 
9611,27,66.0,€675K,5000.0,63,68,69,59,66,66,53,40,64,62,67,86,73,63,ST 
9613,24,72.0,€875K,5000.0,64,57,67,56,67,60,45,56,65,65,65,64,73,67,CDM ST CAM 
9617,24,70.0,€850K,6000.0,77,32,74,68,65,57,28,50,63,72,82,67,67,59,ST 
9621,27,66.0,€675K,2000.0,83,51,85,80,65,65,60,62,66,62,79,73,55,61,ST LW RW 
9631,31,66.0,€575K,3000.0,66,55,71,55,64,67,67,53,63,65,65,63,78,58,ST 
9636,31,66.0,€575K,4000.0,76,34,73,74,67,58,58,51,74,63,77,66,60,54,ST RM 
9637,26,67.0,€775K,4000.0,72,50,64,60,66,67,31,52,59,64,72,57,86,39,ST 
9648,19,75.0,€975K,5000.0,67,32,55,40,64,58,62,49,60,70,64,54,67,51,RM CF ST 
9653,22,72.0,€875K,2000.0,74,56,73,77,67,62,58,57,69,58,72,72,71,63,ST LM 
9659,28,66.0,€650K,2000.0,91,46,81,70,63,61,63,65,67,60,86,73,60,56,ST RW 
9660,23,72.0,€900K,2000.0,60,56,52,65,65,60,32,47,61,67,64,50,62,52,ST 
9661,26,68.0,€800K,4000.0,79,65,68,60,67,64,31,34,65,66,82,70,72,45,ST 
9663,31,66.0,€575K,4000.0,56,38,58,53,65,59,33,32,58,70,52,58,74,53,ST 
9668,25,67.0,€775K,1000.0,82,49,77,82,61,64,65,56,67,59,77,77,57,60,ST RM 
9673,19,73.0,€900K,2000.0,85,34,85,82,77,58,58,73,80,63,78,44,50,66,RW ST 
9677,20,75.0,€1M,2000.0,75,65,71,66,69,66,64,37,64,61,78,69,71,51,LW ST 
9679,27,66.0,€675K,1000.0,81,50,70,90,59,65,46,56,69,73,73,71,46,66,ST CF RM RW 
9706,31,66.0,€575K,6000.0,68,65,74,59,65,58,51,67,66,67,64,64,71,53,ST 
9714,27,66.0,€675K,5000.0,77,50,78,55,66,53,59,46,68,68,78,65,57,61,ST LM 
9715,25,71.0,€875K,2000.0,81,38,75,68,60,58,46,52,62,67,81,50,68,40,ST 
9719,25,66.0,€725K,2000.0,85,74,68,72,57,58,42,55,63,65,78,81,67,46,ST 
9721,28,66.0,€675K,3000.0,82,37,79,73,64,60,59,57,63,62,81,62,59,49,ST 
9729,31,66.0,€575K,5000.0,57,63,65,41,68,62,39,44,59,62,64,72,90,60,ST 
9731,27,67.0,€750K,4000.0,65,67,59,59,70,69,28,38,62,66,66,72,81,46,ST 
9733,23,73.0,€925K,5000.0,50,54,44,51,66,46,35,34,58,69,52,58,78,47,RM ST 
9737,28,66.0,€675K,3000.0,49,84,51,53,61,55,42,44,55,63,69,78,91,64,ST 
9744,19,79.0,€1.2M,2000.0,76,42,69,71,66,63,36,56,74,70,77,63,56,61,LW RW CF ST 
9747,26,67.0,€775K,2000.0,74,51,71,60,65,65,45,65,71,63,70,64,71,62,ST 
9753,29,66.0,€650K,3000.0,73,49,72,65,64,59,60,59,60,62,68,58,72,65,ST 
9754,23,73.0,€900K,9000.0,77,66,72,65,64,60,60,61,66,64,74,76,71,62,ST LM 
9772,22,72.0,€900K,3000.0,69,69,59,57,66,65,53,43,69,63,74,66,70,58,ST 
9777,25,71.0,€875K,2000.0,77,56,70,70,64,67,55,58,64,65,80,71,66,51,RW ST 
9779,33,66.0,€400K,4000.0,77,71,67,49,61,60,59,61,62,62,58,62,78,64,CF ST 
9786,25,70.0,€850K,7000.0,75,35,59,63,62,52,67,70,64,67,77,64,74,72,ST 
9800,31,66.0,€575K,3000.0,69,64,69,72,65,66,57,69,67,64,66,65,63,52,ST 
9805,27,67.0,€750K,2000.0,61,67,65,53,65,60,32,31,69,72,62,73,80,45,ST 
9812,26,67.0,€750K,7000.0,74,55,82,69,71,54,57,66,72,70,68,69,61,54,ST RM CAM 
9815,29,66.0,€650K,1000.0,73,69,51,48,64,62,56,33,64,71,70,60,80,43,ST 
9826,17,85.0,€1.3M,15000.0,78,28,79,82,72,57,43,62,73,65,75,62,43,58,LW ST RW CAM 
9827,26,67.0,€750K,4000.0,61,49,82,74,65,50,63,43,66,70,66,60,63,67,ST LM 
9833,35,66.0,€300K,3000.0,59,60,64,67,67,61,59,56,64,62,64,63,80,64,ST 
9847,28,66.0,€650K,1000.0,90,54,80,78,67,59,63,62,66,62,90,78,45,64,ST CM RM CAM 
9849,25,68.0,€775K,2000.0,73,51,57,69,67,66,61,54,74,68,83,70,46,62,ST CAM LW 
9850,26,69.0,€825K,4000.0,62,68,59,68,68,57,43,72,69,68,62,50,73,57,ST 
9854,23,72.0,€900K,2000.0,74,59,84,89,65,61,65,64,63,71,75,66,42,63,LM ST 
9864,20,79.0,€1.3M,5000.0,71,53,68,62,64,65,41,52,62,72,69,68,67,50,ST 
9870,25,70.0,€850K,2000.0,66,51,61,56,65,64,52,39,59,65,70,67,78,44,RW ST 
9873,24,69.0,€825K,3000.0,71,39,71,64,65,61,62,68,68,65,73,62,56,63,LW ST 
9878,23,72.0,€775K,8000.0,72,47,63,55,61,57,39,54,64,66,70,64,73,53,ST 
9894,23,73.0,€800K,4000.0,90,59,88,79,69,60,55,51,72,60,90,73,61,48,LW LM ST 
9898,26,65.0,€575K,4000.0,90,45,76,75,66,32,64,52,67,62,87,64,63,52,ST LM RW 
9900,21,77.0,€975K,14000.0,77,75,87,59,59,48,42,41,61,67,78,74,72,41,ST 
9903,25,67.0,€650K,1000.0,90,40,83,85,58,54,62,39,63,66,92,78,57,54,ST RM 
9912,31,65.0,€475K,5000.0,51,73,58,56,67,65,40,45,44,69,65,80,86,60,ST 
9919,35,65.0,€250K,2000.0,74,48,71,75,63,74,54,69,59,64,78,56,63,70,ST 
9926,22,72.0,€775K,4000.0,54,52,64,64,67,51,25,35,63,67,58,67,76,52,ST 
9929,26,67.0,€675K,1000.0,74,35,78,77,65,63,48,54,59,68,73,75,68,56,ST 
9943,24,72.0,€775K,2000.0,83,64,83,70,61,52,74,39,64,68,86,71,56,58,RW ST 
9947,26,66.0,€650K,3000.0,67,32,76,76,71,63,53,61,68,64,65,73,60,64,ST 
9951,34,65.0,€280K,3000.0,61,54,62,64,60,65,42,62,60,64,52,68,82,60,ST 
9952,26,66.0,€650K,4000.0,71,41,70,68,61,54,45,45,60,64,73,65,58,50,ST 
9962,24,68.0,€675K,2000.0,90,27,90,87,67,63,50,46,72,64,89,29,33,57,ST LW RW 
9968,25,65.0,€600K,4000.0,75,49,71,58,64,62,57,50,61,63,89,68,65,54,ST LW 
9972,27,65.0,€575K,6000.0,91,61,72,75,61,54,60,63,66,58,83,74,48,56,ST RM 
9973,25,68.0,€700K,4000.0,77,56,63,46,61,55,61,54,66,63,79,64,86,62,LM ST 
9982,22,72.0,€775K,1000.0,78,41,69,71,63,56,50,57,68,59,86,67,66,49,ST 
9983,29,65.0,€550K,3000.0,67,48,62,58,65,54,63,41,62,62,72,67,71,50,ST 
9984,28,65.0,€550K,1000.0,72,56,77,72,64,55,34,52,59,66,69,72,75,57,ST 
9992,27,65.0,€575K,1000.0,83,31,70,69,68,63,31,55,70,68,78,64,60,57,LW ST 
9993,24,72.0,€775K,4000.0,61,30,62,53,63,65,41,52,63,67,71,67,72,55,ST 
9994,31,65.0,€475K,2000.0,60,43,67,58,67,57,68,63,69,61,62,58,73,55,CAM ST RM 
10020,23,71.0,€750K,4000.0,67,35,67,66,67,60,57,51,70,63,67,60,72,58,RW ST 
10024,28,65.0,€550K,3000.0,70,61,72,66,63,63,60,60,65,59,62,67,54,65,ST LM 
10026,23,72.0,€775K,2000.0,73,64,76,79,61,65,48,32,62,65,74,73,75,51,RM LM ST 
